Accession Number,herbarium,species.label,modifier,my.species,Authorship Ref Species author::Species Author,province.state,collector,location,habitat,Geo_LatDegree,Geo_LongDegree,Geo_Source,mapped,certainty 0-3,Altitude from sheet,altitude.units,max elevation,altitude.corrected,Date,Entire plant,corolla width,spur length,spur reflexion,blade length,blade width,blade cleft,sepal length,sepal width,anther exsertion,sepal.color.0.4,Fls/infl,Petal midpoint diameter,Height cm,term lflt length cm,term lflt width cm,num bsl lvs,comments,changes
57146,ID,formosa,,formosa,,Nevada,Noel H. Holmgren,,,38.6838,-114.7019,TRS2LL,Y,2,2287,m,,2287,1969 Aug 11,Y,1.55,2.1,0,0.26,0.38,N,1.81,0.64,1.29,4,,,,,,,,
115341,ID,flavescens,,flavescens,,Montana,Marie Mooar,,,47.0734,-115.0607,TRS2LL,Y,2,1646,m,1738,1692,1968 Jul 22,Y,1.88,1.59,1,0.69,0.56,N,2.44,0.74,0.67,0,,,,,,,,
115477,ID,flavescens,,flavescens,,Montana,Marie Mooar,,,48.286,-113.3678,TRS2LL,Y,2,NA,,,1597,1967 Jul 3,Y,1.92,1.51,0,0.54,0.76,N,1.51,0.91,0.73,0,,,,,,,,
18857,ID,formosa,,formosa,,Oregon,Arthur Cronquist,,,44.9025,-120.0771,TRS2LL,Y,2,NA,,,1011,1950 Jun 23,Y,1.56,1.81,1,0.13,0.38,N,2.18,0.79,1.25,3,,,,,,,,
21009,ID,flavescens,,flavescens,,Idaho,J. H. Christ,,,43.678771,-114.360834,Georeferenced,Y,2,,,,1777,1938 Sep 8,Y,1.42,NA,NA,0.55,0.44,N,2.2,0.42,0.58,0,,,,,,,,
55304,ID,flavescens,,flavescens,,Idaho,Unknown,,,48.180742,-116.909365,GeoLocate,Y,2,,,,648,1928,Y,2.12,1.33,3,0.66,1.03,N,2,0.63,0.8,,,,,,,,,
173869,ID,flavescens,,,,Idaho,Harpo Faust,"Payette National Forest, Council Ranger District, vicinity of Cuddy Point; 17 air miles W and 3.5 air miles N of Council, ID. ~1.5 miles on Forest Road 87 from junction with Forest Road 55.  ","Rocky cliffs and edges below dry basalt plateau, dominated by Phlox sp., Aquilegia flavescens, and Mertensia sp.",44.780637,-116.780851,GPS,,,2299,m,,2299,,,1.81,1.2,,0.69,0.62,0,2.18,0.87,0.69,0,,,,,,,,
173761,ID,flavescens,,,,Idaho,Ty Styhl,"Payette National Forest, McCall Ranger District, trail leading to Deep Lake; 18 air miles north, and 8 air miles east of McCall, Idaho.",Trail winding through subalpine area and nearby stream; large outcroppings of granite present; area recently burned.,45.167116,-115.931966,Digital Map,,,2076,m,2236,2156,,,1.44,1.35,,0.45,0.5,0,1.98,0.56,0.71,0,,,,,,,,
62687,SRP,flavescens,,,,Idaho,J. F. Smith,"Boise National Forest.  National Forest Road 583 to Bear Valley Mountain Lookout. Below summit, as far as road was passable due to snow.¶","Previously burned forest, open.",44.46027,-115.388508,GPS,,,2435,m,,2435,,,1.79,1.45,,0.45,0.6,0,1.8,0.7,0.84,1,,,,,,,,
63177,SRP,flavescens,,,,Idaho,Don H. Mansfield,Boise National Forest. 0.5 mile on small road north of Forest Service Road 579 toward Bernard Mt.  Hike from road to Bernard Mt.,Near and on false summit. Late lying snow area. Limestone outcrop on false summit.,44.43715,-115.50568,GPS,,,2397,m,,2397,,,2.05,1.82,,0.57,0.58,0,2.49,0.98,0.78,0,,,,,,,,
173478,ID,flavescens,,,,Idaho,Grahm M Johnson,"Snowbank Mt, Boise National Forest, Cascade Ranger District, 7 air mi SW of Cascade, Idaho, off of Carbarton Rd S of Cascade, to FS Rd 446, then 8.5 mi to end.  Collected from peak summit (8,344 ft), spiraling down to 8,000 ft.","High granite, glaciated peak with rocky cliffs on the N aspect.  Slope: 0-65%.  ¶W aspect dominated by Pinus albicaulis, Abies lasiocarpa, Lupinus sp., Juncus sp., Aconogonon phytolaccifolium.   ¶S aspect dominated by Artemisia tridentata, Pinus albicaulis, Aconogonon phytolaccifolium.¶E aspect dominated by Carex sp., Juncus sp., Pinus albicaulis, Abies lasiocarpa.  ¶N aspect dominated by Juncus sp., Carex sp., Pinus albicaulis, Abies lasiocarpa.",44.440344,-116.12625,Calc. from UTM,,,2439,m,2544,2491.5,,,1.8,1.63,,0.56,0.62,0,1.83,0.69,0.56,1,,,,,,,,
173448,ID,flavescens,,,,Idaho,Grahm M Johnson,"Council Mt, Council Ranger District, Payette National Forest.  Two air mi S and 9 air mi E of Donnelly, Idaho.  From Donnelly take FS Rd 422 5 mi W. Then take FS Rd 185 NW for 11 mi. Then take FS Rd 165 3 mi W. Then take FS Tr 201 4 mi S to summit.  Collected from summit (8,126 ft) spiraling down to 8,000 ft.¶ ","High cliffy, rocky, basalt peak and N-S running ridge system dominated by bunchgrass community.  ¶S and W aspects dominated by Festuca idahoensis, Artemisia tridentata, and Eriogonum sp.¶E aspect dominated by Festuca idahoensis and Lomatium grayi.¶N aspect dominated by Abies lasiocarpa, Pinus albicaulis, Polemonium pulcherrimum.",44.710625,-116.26941,Calc. from UTM,,,2439,m,2477,2458,,,1.81,1.51,,0.6,0.64,0,1.58,0.6,0.58,0,,,,,,,,
411507,WTU,flavescens,,,,Montana,R.C. Benkendorf,"Baker lake, cliffs to the W, approach to Trapper.","Hab.:  growing in loam deposits on talus, beneath wet cliff face.¶Slope:  10-20°.  Asp.:  S & E.¶Ass.: Cryptogamma crispa,  Heuchera grossularifolia, Dodecatheon conjugens.",45.891617,-114.262453,Specimen Label,,,2300,m,,2300,,,1.8,1.26,,0.44,0.41,0,1.62,0.69,0.69,0,,,,,,,,
63536,SRP,flavescens,,,,Idaho,Grahm M. Johnson,"Rain Peak, Payette National Forest, on border of McCall and Krassel Ranger Districts. Six air mi to the E and 12 air mi to the N of McCall.  2 mi S along FS Tr 109 and 2 mi off trail to Rain Pk. Summit, while spiraling down to 8255 ft.","High rocky, granite peak with a large N aspect cliff and scree field. Patches of snow on N aspect.  N bowl dominated by Abies lasiocarpa, Saxifraga and Phyllodoce glandulifera. E and SW bowls dominated by Picea engelmannii, Pinus albicaulis, Abies lasiocarpa, Poa secunda, Juncus, Vaccinium scoparium, Phlox.",45.070116,-115.961599,,,,2517,m,2669,2593,,,1.71,1.46,,0.59,0.61,0,1.76,0.56,0.61,0,,,,,,,,
63666,SRP,flavescens,,,,Idaho,Grahm M. Johnson,"Council Mt., Concil Ranger District, Payette National Forest. Two air mi S and 9 air mi E of Donelly. FS Tr 201 4 mi S to summit.  From summit spiraling down to 8000 ft.",,44.710625,-116.2694199,,,,2439,m,2477,2458,,,1.76,1.3,,0.46,0.54,0,1.2,0.43,0.51,0,,,,,,,,
171269,ID,flavescens,,,,Idaho,Julia Olivieri,"Josephine Lake. Forest Service Road 316 off of Warren Wagon Road. North of McCall, Idaho. Along trailside to Josephine Lake, mid-mountain, mid-slope. ",Soils bare-mineral granitics. Subalpine. Evidence of past burn.  Dry.,45.23241,-115.9663,GPS,,,2159,m,2239,2199,,,1.9,1.3,,0.61,0.62,0,1.76,0.62,0.5,3,,,,,,,,
52365,SRP,flavescens,,,,Idaho,C. Davidson,"For. Serv Rd. 517 from Hwy 95 in Riggins toward Heaven's Gate L. O., Seven Devils Mts., west of 7-Devils campground on trail toward Devil's Tooth",steep talus slope and crevices in granite outcrop to the north,45.341806,-116.523278,,,,2271,m,,2271,,,1.51,1.3,,0.43,0.46,0,1.46,0.41,0.64,1,,,,,,,,
415286,WTU,flavescens,,,,Idaho,Russ Holmes,Payette National Forest. Missouri Ridge area just north of north-facing cirque.,Subalpine meadow with rocky outcropping and small stream; damage from previous wildfire evident everywhere.,45.01254,-115.35963,GPS,,,2318,m,,2318,,,1.98,1.39,,0.51,0.57,0,1.47,0.41,0.72,0,,,,,,,,
415456,WTU,flavescens,,,,Idaho,Richard G. Olmstead,Boise National Forest. Tyndall Meadow.,,44.56621,-115.54448,,,,2063,m,,2063,,,1.98,1.52,,0.51,0.51,0,1.7,0.64,0.85,0,,,,,,,,
60505,SRP,flavescens,,,,Idaho,S. Olmstead,Boise National Forest. Road to Meadow Creek Lookout.,Mixed conifer forest with moist meadows.,44.90774,-115.27389,Specimen Label,,,2560,m,,2560,,,1.73,1.58,,0.54,0.54,0,1.84,0.74,1.1,0,,,,,,,,
414822,WTU,flavescens,,,,Montana,Doug Williams,Beaverhead-Deerlodge National Forest: At summit of Comet Mountain.,"Broken rock slopes stabilized by vegetation; alpine, with Phlox pulvinata, Geum rossii, Lupinus, Poa.",45.46013,-113.04412,GPS,,,3100,m,,3100,,,1.59,1.33,,0.46,0.48,0,1.73,0.64,0.59,0,,,,,,,,
53118,SRP,flavescens,,,,Idaho,J. F. Smith,Blue Lake trail from Snowbank Mt. road,"lakeside, open meadows and Pinus albicaulis stands",44.409597,-116.133592,,,,2235,m,2353,2294,,,1.73,1.51,,0.61,0.61,0,1.58,0.54,0.56,0,,,,,,,,
160513,MONTU,flavescens,,,,Montana,Tom Watson,"Custer Nat'l Forest, 17.3 mi SW of Red Lodge on US Hwy 212. ",At roadside,45.02343,-109.42922,,,,2639,m,,2639,,,1.48,1.43,,0.59,0.64,0,2.17,0.49,0.79,1,,,,,,,,
2014.015,IDS,flavescens,,,,Idaho,Janet Bala,4 mi. south of Hazard Lake campground along Hazard Lake road.,"Growing on roadcut, west facing slope in open fir, lodgepole pine forest.",45.193211,-116.147442,Digital Map,,,2150,m,,2150,,,2.02,1.45,,0.49,0.7,0,1.65,0.47,0.67,0,,,,,,,,
52931,SRP,flavescens,,,,Idaho,J. F. Smith,trail to Lake Serene,"exposed rocky slopes, burned forest",45.1961,-116.190733,Specimen Label,,,2170,m,,2170,,,1.87,1.59,,0.54,0.69,0,2.3,0.49,0.84,1,,,,,,,,
2014.008,IDS,flavescens,,,,Idaho,Marja Slifka,Goose Creek road.,,45.066739,-116.154542,,,,1980,m,,1980,,,1.78,1.55,,0.52,0.6,0,1.97,0.55,0.88,0,,,,,,,,
417539,WTU,flavescens,,,,Idaho,Grahm M. Johnson,Payette National Forest; north of Secesh Summit.  Forest Road 316 to Josephine Lake; along trail and edge of lake.,"Subalpine forest, previously burned 1994.  With Abies lasiocarpa, Pinus contorta, Picea engelmannii, Populus tremuloides.  Hillside dominated by Xerophyllum tenex, Carex geyeri, Juncus sp.  Granitic soil with scattered boulders.",45.224769,-115.97083,Specimen Label,,,688,m,,688,,,1.82,1.31,,0.67,0.56,0,1.72,0.51,0.36,1,,,,,,,,
406803,WTU,flavescens,,,,Washington,Amy Cabral,Colville National Forest. Road to Salmo Mountain. Approximately 1.5 kilometers below summit.,South-facing slope bisected by road; small seasonal stream along edge of road; slope with seasonally moist open areas.,48.9633,-117.105,Digital map,,,1900,m,,1900,,,1.69,1.36,,0.49,0.64,0,1.85,0.59,0.85,1,,,,,,,,
407027,WTU,flavescens,,,,Washington,Don Knoke,Colville National Forest. Along old road bed converted to trail between trailhead and start of trail to Hall Mountain at end of Forest Service Road 500 off Sullivan Creek Road.,Moist mossy soil of road bank and bed under Alnus sinuata and conifer forest.,48.80119,-117.231037,GPS,,,1670,m,,1670,,,2.13,1.59,,0.69,0.9,0,2.33,0.9,0.44,0,,,,,,,,
407853,WTU,flavescens,,,,Washington,Susan Kephart,Colville National Forest. Along Round Top Mountain Trail #512 (Shedroof Divide trail).,Mixed coniferous open forest along trail. Some rocky outcrops and seeps.,48.8061,-117.1298,Digital map,,,1830,m,,1830,,,2.26,1.49,,0.69,0.74,0,2.51,0.92,0.62,0,,,,,,,,
407008,WTU,flavescens,,,,Washington,Doug Williams,Colville National Forest. Bear Pasture trailhead and along road near trailhead.,,48.91724,-117.13914,,,,1713,m,,1713,,,2.13,1.49,,0.59,0.9,0,2.31,0.92,0.51,0,,,,,,,,
34882,SRP,flavescens,,,,Idaho,C. Davidson,"Big Creek Rd., ca. 12.3 miles N of Yellow Pine, along Profile Creek, toward Big Creek. For. Serv. Rd 340.","Shady, moist roadside bank in mixed conifer forest.",45.033889,-115.408333,,,,2090,m,,2090,,,1.5,1.3,,0.36,0.52,0,1.48,0.52,0.7,0,,,,,,,,
40874,CIC,flavescens,,,,Idaho,J. Smith,Collected at trail to Custer Mountain lookout along 5 mile creek ending at N 44.3769 and E -114.6181 at 7687 ft elevation.,"Growing with Artemisia sp., Penstemon sp., Lupinus sp., Castilleja, and Erigeron eatonii.",44.4086,-114.6492,,,,2012,m,,2012,,,2.15,1.71,,0.51,0.56,0,2.17,0.59,0.97,2,,,,,,,,
40875,CIC,flavescens,,,,Idaho,D. Mansfield,"Along Jordan Creek, 2.5 miles north of the Jordan Creek turnoff at Bonanza on road to Custer (10 miles north of Sunbeam on Hwy 75) on the Yankee Fork of the Salmon River.","In steep, open, gravelly, southeast-facing hillside west of Jordan Ck alongside the road.",44.4108,-114.7357,,,,2073,m,,2073,,,2.39,1.98,,0.77,0.75,0,2.06,0.69,0.75,1,,,,,,,,
165592,ID,flavescens,,,,Idaho,D. Mansfield,"Along Jordan Creek, 2.5 miles north of the Jordan Creek turnoff at Bonanza on road to Custer (10 miles north of Sunbeam on Hwy 75) on the Yankee Fork of the Salmon River.","In steep, open, gravelly, southeast-facing hillside west of Jordan Ck alongside the road.",44.4108,-114.7357,Specimen Label,,,2073,m,,2073,,,1.82,1.58,,0.54,0.57,0,1.85,0.52,0.99,2,,,,,,,,
870433,USFS,flavescens,,,,Montana,Emily Elliott,"Absaroka Range: Gallatin National Forest: East Fork Boulder River valley, ca 41 air mi SSW of Big Timber; from the Box Canyon Trailhead over the Lake Plateau to the Upsidedown Creek Trailhead on Forest Road 6639.",Mixed conifer forest dominated by Pinus contorta and Pseudotsuga menziesii with a forb understory and with scattered meadows.,45.2737,-110.2502,GPS reading,,,2024,m,2302,2163,,,1.84,1.75,,0.53,0.78,0,2.16,0.84,0.71,0,,,,,,,,
1155955,NY,flavescens,,,,Utah,S. Goodrich,"Uinta Mountains, Ashley National Forest, North Fork Duchesne drainage, Hades Canyon",wet ground associated with seeps and springs on steep canyon side of southerly aspect,40.5575,-110.8472,Specimen Label,,,,,,2735,,,2.15,1.51,,0.65,0.76,0,1.61,0.62,0.87,1,,,,,,,,
1057369,NY,flavescens,,,,Utah,Noel H. Holmgren,"Bear River Range, Logan Canyon, about 1km up Cottonwood Canyon from U.S. Highway 89",,41.8214,-111.6269,Specimen Label,,,,,,1780,,,1.48,1.67,,0.3,0.59,0,1.69,0.71,0.79,0,,,,,,,,
24868,DBG,flavescens,,,,Utah,A. Armstrong,"Mill Creek Canyon, Near Salt Lake City",wet woods,40.702355,-111.695342,GBIF georef batch tool,,,,,,1992,,,2.23,1.3,,0.61,0.63,0,2.28,0.71,0.68,0,,,,,,,,
485648,NY,flavescens,,,,Utah,P.A. Rydberg,"Around and below Twin Lakes, Big Cottonwood Canyon",,40.7144,-109.8878,Google Earth,,,,,,3139,,,1.69,1.87,,0.55,0.62,0,2.18,0.57,0.67,0,,,,,,,,
2637,DBG,flavescens,,,,Wyoming,L.W. Leaman,"Yellowstone National Park, Winter Creek",moist shade,40.830366,-110.772742,Google Earth,,,,,,3284,,,1.22,0.93,,0.32,0.46,0,1.36,0.55,0.57,0,,,,,,,,
40086,SRP,formosa,,,,California,C. Davidson,Lake Shasta/Packer's Bay Marina: Water's Gulch Trail.,Ponderosa-oak woodland.,40.718611,-122.418889,GNIS,,,,,,366,,,1.22,1.56,,0.15,0.29,0,1.2,0.47,1.34,4,,,,,,,,
5177,BLMVL,formosa,,,,Oregon,D. Mansfield,On Owyhee River ~ 1 1/4 mi. N of Bogus cr. River left at Bull Cr. ,"Growing in seep, 1/4 mi into canyon on the N slope with Juncus balticus. ",43.109,-117.717333,Specimen Label,,,,,,936,,,1.65,1.44,,0.34,0.49,0,1.44,0.66,0.84,2,,,,,,,,
95969,ID,formosa,,,,Oregon,B. McClarin,Precious Lands Wildlife Management Area. At confluence of Tamarack Creek and East Fork.,Beside creek. Moist area.,45.9415,-117.1307,TRS2LL,,,,,,732,,,1.91,1.96,,0.3,0.53,0,2.16,0.76,1.12,4,,,,,,,,
6266,CIC,formosa,,,,Idaho,Patricia L. Packard,Payne Cabin area -- Juniper Mountain,Stream side community around the spring.,42.4941,-116.8881,,,,,,,1875,,,1.42,1.63,,0.15,0.42,0,1.48,0.59,1.32,4,,,,,,,,
6267,CIC,formosa,,,,Idaho,P. L. Packard,South Mountain Mining camp¶South Mountain,,42.743,-116.924,,,,,,,2195,,,1.49,1.65,,0.15,0.44,0,1.52,0.57,1.14,4,,,,,,,,
140567,ID,formosa,,,,Idaho,D. Mansfield,"On slopes beneath and northwest of the lookout on South Mountain about 21 road miles southeast of Jordan Valley, OR.","Near creek in mining site opening in coniferous forest with Acer glabrum, Salix lemmonii, Salix lucida caudata.",42.744833,-116.92055,,,,,,,2128,,,1.18,1.51,,0.28,0.41,0,1.58,0.72,0.92,4,,,,,,,,
2012.009,IDS,formosa,,,,Idaho,Ray J. Davis,South Mountain.,,42.752101,-116.923465,GeoLocate,,,,,,2004,,,1.09,1.5,,0.31,0.42,0,1.55,0.65,1.16,3,,,,,,,,
29950,CIC,formosa,,,,Oregon,D. Mansfield,"Confluence of intermittent and perennial forks of Indian Creek on S slope of Oregon Canyon Mtns, 16 mi NW of McDermitt, Bretz Mine Quad.","In understory of thick forest of Alnus incana and Prunus viriginiana (dbh>18 in). With Heracleum lanatum, Epilobium ciliatum, Scrophularia lanceolata, Erigeron philadelphicus, Poa palustris.",42.091667,-117.975,,,,,,,1829,,,1.16,1.59,,0.25,0.33,0,1.54,1.53,1.14,4,,,,,,,,
143354,ID,formosa,,,,Oregon,Heather Bradtke,"Umatilla National Forest and Vicinity: Forest Road 31 where Forest Road 3120 splits off, ca 11 mi N of La Grande.","Partial shade of Douglas fir, grand fir, spruce overstory; soil fine, deep, brown.",45.500556,-118.106667,,,,,,,1463,,,1.63,1.57,,0.41,0.53,1,1.52,0.53,1.04,1,,,,,,,,
1825,ID,formosa,,,,Idaho,F. W. Gail,"Elk River, ID.",,46.783514,-116.179872,GeoLocate,,,,,,867,,,2.44,2.06,,0.66,0.64,0,2.06,0.61,0.89,4,,,,,,,,
40087,SRP,formosa,,,,Idaho,W. McClure,"Clearwater National Forest, 0.2 miles northeast of Mush Saddle. Forest Service Road 711.",Southeast facing rocky roadcut. Open forest and brush.,46.756217,-115.365333,,,,,,,1611,,,1.9,2.22,,0.56,0.61,0,2.57,0.61,0.89,4,,,,,,,,
21770,ID,formosa,,,,Idaho,R. M. Joslyn,"Shanghai Butte, near Pierce.",,46.548472,-115.774956,Digital Map,,,,,,1319,,,2.36,1.96,,0.43,0.79,0,2.18,0.99,0.86,4,,,,,,,,
20901,SRP,formosa,,,,Idaho,J. F. Smith,"Along Rd to Reynold's Creek from Murphy, 15 mi. from Murphy.",Stream and rock outcrop. Salix.,43.2,-116.8,,,,,,,1561,,,1.35,1.79,,0.31,0.47,0,2.06,1.01,1.35,4,,,,,,,,
59887,SRP,formosa,,,,Idaho,J. F. Smith,"Soldier Mountains, Forest Service trail 005 at end of Road 094 north of ski area.","Streamside trail, disturbed and weedy, intermixed with dry Pseudotsuga menziesii forest, scattered Populus tremuloides, Acer glabrum, Alnus.  Openings with Artemisia tridentata ssp. tridentata and Symphoricarpos.  Occasional intermittent streams crossing trail. ",43.51675,-114.85455,GPS,,,,,,1844,,,1.53,1.76,,0.38,0.51,0,1.51,0.58,0.8,4,,,,,,,,
40088,SRP,formosa,,,,Utah,A. Huber,"Wales Canyon, San Pitch Mountains",Plants growing in seep in gamble oak community,39.5648,-111.6812,Calc. from UTM,,,,,,2073,,,1.38,1.69,,0.26,0.37,0,1.58,0.57,1.27,4,,,,,,,,
60985,SRP,formosa,,,,Idaho,Cory Barham,Stacy Creek trail.,"Salicaceae, Fabaceae, Penstemon, Douglas fir, ponderosa pine, grass. East aspect with steep gradient. Clay-loam mixture with plentiful water.",44.50517,-116.95084,Specimen Label,,,,,,1128,,,1.66,1.84,,0.3,0.46,0,1.92,0.9,1.03,4,,,,,,,,
54393,SRP,formosa,,,,Idaho,J. F. Smith,~ 2 miles along FS road 579 from state highway 21,open meadow with burned and fallen tree trunks,44.368333,-115.275383,GPS,,,,,,2185,,,2.33,1.64,,0.58,0.56,0,2.15,0.77,0.61,1,,,,,,,,
30072,SRP,formosa,,,,Idaho,J. F. Smith,Off of highway G3,,42.219583,-114.284917,,,,,,,1886,,,1.51,1.77,,0.26,0.42,0,2.45,0.73,1.22,4,,,,,,,,
118373,ID,formosa,,,,Idaho,Sara Crockett,"Central Lemhi Range, Salmon-Challis National Forest, ca. 2.6 miles NE on Squaw Creek Road.","Open, moist, upper montane meadow with active stream running through. Ground ranging from semi-moist to saturated, from edge of Pseudotsuga mensiezii forest to streambank. Vegetation lush. Associated with Mimulus guttatus, Juncus balticus, Glyceria striata, Achillea millefolium, Polemonium occidentale, Picea engelmannii, Salix myrtilifolia, Poa pratensis, Carex aurea.",44.326122,-114.470488,GeoLocate,,,,,,2268,,,1.85,1.83,,0.53,0.56,0,1.96,0.51,0.81,4,,,,,,,,
V82108,ALA,formosa,,,,Alaska,Bud Rice,"Kenai Peninsula, Surprise Bay, on West Arm Nuka Bay.","Rocky, wet slope near a cascade.",59.48,-150.53,unknown,,,,,,0,,,1.58,1.76,,0.2,0.46,1,2.31,1.06,1.27,4,,,,,,,,
83720,ALA,formosa,,,,Alaska,Eric J. Taylor,11.2 km W On Willow Cr. Road.,,61.76,-149.9,unknown,,,,,,125,,,1.27,1.31,,0.2,0.45,1,2.53,0.95,1.15,4,,,,,,,,
87693,ALA,formosa,,,,Alaska,Betty Elliott,"Kenai Peninsula, Devil's Creek area, Mile 39.5 Sterling Hwy., Devil's Cr. trail.",,60.55,-149.6,unknown,,,,,,268,,,1.55,1.62,,0.13,0.35,1,2.18,0.57,1.09,4,,,,,,,,
V101535,ALA,formosa,,,,Alaska,Maxcine Williams,"Keystone Canyon, Richardson Hwy.",Roadside.,61.08,-145.9,unknown,,,,,,184,,,1.32,1.56,,0.18,0.29,0,2.27,0.75,1.27,4,,,,,,,,
V162484,ALA,formosa,,,,Alaska,Leah Kenney,"Icy Bay, Taan Fiord.",Talus slope.,60.1656,-141.1811,collector,,,,,,386,,,1.62,1.7,,0.17,0.4,1,2.28,0.78,1.46,4,,,,,,,,
V130244,ALA,formosa,,,,Alaska,Carolyn L. Parker,"St. Elias Mts., Takhin Ridge, W end, upper Takhin R. valley.",Rocky limestone outcrops and mesic meadows with scattered shrubs.,59.28,-136.11,unknown,,,,,,466,,,1.66,1.95,,0.19,0.43,1,2.67,0.99,1.15,4,,,,,,,,
V74855,ALA,formosa,,,,Alaska,Susan Warner,"Coast Mts., Mt. Juneau.",Edge of waterfall. well-drained slope.,58.31,-134.4,unknown,,,,,,203,,,1.72,1.96,,0.17,0.34,0,2.63,0.74,1.57,4,,,,,,,,
V76073,ALA,formosa,,,,Alaska,Mary C. Stensvold,"Alexander Archipelago, Herring Cove, Baranof I. 8 km E of Sitka.",Open disturbed gravel bank.,57.04,-135.2,unknown,,,,,,3,,,1.72,1.76,,0.19,0.3,0,2.65,0.76,1.5,4,,,,,,,,
V072847,ALA,formosa,,,,Alaska,Linda Vorobik,"Alexander Archipelago, Control Lake Jct. On Road To Craig, Prince of Wales I.","Meadow, w side of road to craig.",55.7,-132.86,unknown,,,,,,138,,,1.57,1.76,,0.24,0.37,0,2.15,0.74,1.23,4,,,,,,,,
V74357,ALA,formosa,,,,Alaska,Cathy Rose,"Annette I., Annette Bay.",Forest border.,55.25,-131.51,unknown,,,,,,11,,,1.32,1.75,,0.2,0.36,0,1.43,0.52,0.8,4,,,,,,,,
124968,JEPS,formosa,,,,California,D. M Neubauer,"White Mountains, head of Silver Canyon, 1.72 air-miles sw UC White Mountain Research Center Crooked Creek Station","In drainage, base of steep moist wnw-facing talus slope, quartzitic substrate",37.48182,-118.19373,Specimen Label,,,,,,3096,,,1.32,1.58,,0.14,0.33,0,1.75,0.54,1.11,4,,,,,,,,
M034771,Dudley,formosa,,,,Baja California,Kenton L. Chambers,"Canyon del Diablo, to the north and west of Picacho del Diblo, eastern flank of Sierra San Pedro Martir.","Steep-walled canyon cutting through the abrupt eastern escarpment of the range, with a living stream reaching the canyon mounth at this season.",31.083,-115.388,Specimen Label,,,,,,1371,,,1.51,1.82,,0.21,0.33,0,1.67,0.63,1.56,4,,,,,,,,
74504,DES,formosa,,,,Arizona,G. Rink,"Willow Valley Canyon, in upper Maxwell Draw below Mawell Tank.",,34.58549,-111.40141,,,,,,,2012,,,1.21,1.61,,0.31,0.29,0,1.31,0.33,0.92,4,,,,,,,,
758475,NY,formosa,,,,Arizone,Arnold Tiehm,"Virginia Mountains, creek near Lower Scott Spring, 1.4 road miles E of main Spanish Flat road",,40.025278,-119.769778,Specimen Label,,,,,,2202,,,1.54,1.92,,0.13,0.38,1,1.64,0.58,1.23,3,,,,,,,,
485899,NY,formosa,,,,Nevada,N.E. Nichols,8 Mi. W. of North Fork,along stream,41.4858,-115.971942,Google Earth,,,,,,2072,,,1.28,1.59,,0.2,0.39,1,1.6,0.67,1.09,4,,,,,,,,
485788,NY,formosa,,,,Utah,A. Huber,"Big Brush Creek Gorge, Uintah Mtns.",moist cracks of Weber sandstone,40.6443,-109.5278,GEOLocate,,,,,,2316,,,1.54,2.09,,0.22,0.57,1,1.6,0.5,1.15,3,,,,,,,,
10548,MONT,flavescens,,,,Montana,R. S. Williams,Yogo. Belt Mountains.,,46.926955,-110.54533,Digital Map,,,,,,2685,,,1.73,1.5,,0.46,0.48,0,1.8,0.48,0.99,,,,,,,,,
77045,MONT,flavescens,,,,Montana,J. Beisel,"Approximately 57 mi. from Great Falls. Hwy 89 for 44 mi, turn right on Logging Creek Road 13 mi to Logging Creek Campground. ",,47.040168,-111.062063,Digital Map,,,,,,1402,,,2.62,1.45,,0.64,0.86,0,2.08,0.79,0.58,,,,,,,,,
49924,MONTU,flavescens,,,,Montana,Marianne Hillman,"Mission Cirque, Mission Mnts.; Falls below.",,47.416599,-113.942604,USGS-website,,,,,,1327,,,1.8,1.57,,0.51,0.58,0,1.88,0.61,0.58,,,,,,,,,
3252,MONTU,flavescens,,,,Montana,Marcus E. Jones,McDougal Peak.,Upper temperate life zone. Alpine,47.811054,-113.925102,USGS-website,,,,,,1982,,,1.68,1.19,,0.48,0.41,0,1.96,0.66,0.66,,,,,,,,,
160894,MONTU,flavescens,,,,Montana,Rick McNeill,"Lewis and Clark National Forest: Front Range: glacial cirque on east face of Rocky Mountain, ca 2 air mi SW of South Fork Teton Trail head, ca 7.5 air miles S of Rocky Mountain Hi Ski Area, cirque east side of peak. ","On north-facing slope of cirque from ridgetop down to bottom of cirque, limestone outcrops, talus and riparian at bottom. ",47.8229,-112.8013,,,,,,,2177,,,2.41,1.47,,0.66,0.81,0,1.9,0.74,0.74,,,,,,,,,
24928,MONTU,flavescens,,,,Montana,Amy M. Cooke,Spring Hill.,,48.031067,-112.416702,,,,,,,1397,,,1.91,1.42,,0.64,0.79,0,1.96,0.71,0.69,,,,,,,,,
71048,MONT,flavescens,,,,Montana,Blaine H. M. Mooers,Collected from the rock crevices adjacent to a tiny spring on the open slope north of Leigh Lake. Cabinet Mountains Wilderness. ,"Silt loam, 70% slope, 180 degrees aspect. Associated with an Agropyron-Festuca grassland. From an isolated population of 60 individuals. ",48.2327,-115.6552,TRS2LL,,,,,,1768,,,2.16,1.57,,0.58,0.71,0,2.11,0.69,0.66,,,,,,,,,
16531,MONTU,flavescens,,,,Montana,J. E. Kirkwood,"China Wall, Continental Divide.",,47.689384,-113.150894,,,,,,,2439,,,2.24,1.78,,0.74,0.79,0,2.59,0.79,0.43,,,,,,,,,
